Cruise,Station,state,rep,7.5,15,25,35,45
2245,1,c0,1,127.4173229,77.988189,45.03543309,15.37795276,13.18110237
2245,1,c0,2,107.6595745,61.90425531,44.40957446,16.14893617,22.87765957
2245,1,c0,3,277.6666665,50.36111108,35.38888887,16.33333332,12.24999999
2245,1,c24,1,84.16289595,41.40271494,10.18099548,8.823529413,5.429864255
2245,1,c24,2,74.8679245,31.97484276,9.358490563,3.119496855,4.679245281
2245,1,c24,3,240.233463,57.38910506,18.6848249,12.01167315,14.68093385
2245,1,t24,1,48.72350231,37.17050692,11.55299539,5.023041475,6.529953917
2245,1,t24,2,94.50549451,34.06593407,12.08791209,4.395604395,4.945054945
2245,1,t24,3,98.17045457,34.32954547,14.45454546,3.011363637,3.011363637
2245,5,c0,1,164.9617021,38.97446809,8.157446809,0.906382979,0
2245,5,c0,2,119.8153846,43.56923077,10.8923077,1.815384616,0.907692308
2245,5,c0,3,240.3527778,71.28333333,14.62222223,1.827777778,0.913888889
2245,5,c24,1,88.03361343,15.42857143,1.81512605,1.81512605,0.907563025
2245,5,c24,2,41.875,20.1,3.908333334,1.116666667,0
2245,5,c24,3,79.67484665,25.19631902,2.042944786,1.361963191,2.723926381
2245,5,t24,1,63.68279569,26.58064515,9.967741934,2.768817204,0
2245,5,t24,2,42.11965812,14.22222222,5.47008547,1.094017094,1.094017094
2245,5,t24,3,156.9107143,67.58035713,24.08035714,10.875,1.553571428
2245,9,c0,1,388.8036252,68.44108758,20.38670694,1.456193353,2.912386706
2245,9,c0,2,138.7619047,51.66666666,20.66666666,0,5.904761904
2245,9,c0,3,99.53658536,37.5609756,13.14634146,2.817073171,0.93902439
2245,9,c24,1,78.39912281,31.25,7.675438596,4.385964912,3.289473684
2245,9,c24,2,55.81578946,18.2368421,4.973684209,3.315789473,1.657894736
2245,9,c24,3,23.0625,10.6875,1.125,0,1.125
2245,9,t24,1,67.70718233,32.07182321,17.10497238,5.701657459,6.414364642
2245,9,t24,2,59.95945947,28.94594595,7.581081082,2.756756757,2.756756758
2245,9,t24,3,30.96638655,22.5210084,7.319327731,2.81512605,3.37815126
2164,1,c0,1,222.3603604,59.65765768,13.55855856,5.423423425,0
2164,1,c0,2,153.5201794,39.52914798,9.192825113,0.919282511,1.838565023
2164,1,c0,3,98.12775333,30.33039649,5.352422909,0.594713657,0.594713657
2164,1,c24,1,74.5755814,18.20348837,4.110465116,4.110465117,0
