Cruise,Station,state,rep,7.5,12.5,17.5,22.5,27.5,32.5,37.5,42.5,47.5
2164,11,c24,1,65.31976745,15.87209302,7.936046512,6.104651163,3.052325582,2.441860465,1.220930233,0.610465116,2.441860465
2164,11,c24,2,71.60869564,14.67391304,8.804347825,4.108695651,4.108695651,2.347826087,1.760869565,0.586956522,0
2164,11,c24,3,45.1,13.47142857,8.200000001,4.1,3.514285715,2.928571429,1.757142857,1.757142857,1.171428572
2164,11,t24,1,61.03124998,12.20625,5.812499998,5.231249999,2.324999999,2.324999999,1.1625,0.58125,2.324999999
2164,11,t24,2,52.42307693,16.87179487,9.641025642,6.025641026,3.615384616,2.41025641,1.807692308,0,1.205128205
2164,11,t24,3,45.22058825,12.05882353,8.441176472,7.838235296,2.411764706,2.411764706,1.80882353,0.602941177,1.205882353
2109,5,c0,1,44.4966443,10.90604027,6.543624162,2.181208054,0.872483222,0,0,0,0
2109,5,c0,2,30.98620533,13.15852555,4.244685662,1.273405699,0.848937132,1.273405699,0.848937132,0,0
2109,5,c0,3,16.67605634,8.112676056,4.056338028,2.704225352,0,0,0,0,0.450704225
2109,5,c24,1,30.528,13.144,4.664,1.696,2.544,0,0,0,0.424
2109,5,c24,2,50.22222222,8.444444444,4.888888889,2.666666667,1.333333333,0.444444444,0,0,0
2109,5,c24,3,82.12499999,14.625,8.999999999,2.25,4.499999999,3.375,1.125,0,0
2109,5,t24,1,39.890625,16.171875,6.468749999,2.15625,2.15625,2.15625,0,0,0
2109,5,t24,2,45.44262296,11.90163935,3.24590164,3.24590164,2.163934427,0,0,0,0
2109,5,t24,3,25.6,12.8,4.266666667,1.066666667,4.266666667,0,0,0,0
2057,1,c0,1,593.1761445,313.0651874,230.6796117,76.89320391,67.73925107,23.8002774,5.492371708,5.492371708,3.661581139
2057,1,c0,2,572.3857147,283.4142859,170.4190477,70.39047624,37.04761907,20.37619049,11.11428572,1.852380954,0
2057,1,c0,3,567.5854703,356.8482907,233.215812,87.10470088,39.33760685,16.85897436,11.23931624,2.809829061,0
2057,1,c24,1,103.2197802,33.2967033,23.30769231,12.20879121,14.42857143,4.43956044,2.21978022,3.32967033,5.54945055
2057,1,c24,2,98.75882356,28.76470589,20.13529412,8.629411767,2.876470589,2.876470589,0,0.95882353,0
2057,1,c24,3,107.8736842,27.93157895,20.22631579,10.59473684,6.742105264,1.92631579,4.815789474,1.92631579,0.963157895
2057,1,t24,1,174.0828025,64.56050955,35.7388535,24.21019108,27.66878981,16.14012739,8.070063693,2.305732484,9.222929935
2057,1,t24,2,270.2222223,132.2364067,93.42789601,56.05673761,22.99763594,15.81087471,2.874704493,8.624113478,5.749408985
2057,1,t24,3,194.0192927,66.52090034,54.04823153,42.9614148,30.48874599,16.63022509,15.24437299,6.929260452,4.157556271
2057,3,c0,1,406.2304761,62.04952379,26.17714285,9.695238092,3.878095237,0.969523809,0,0,0
2057,3,c0,2,190.7019868,64.25827815,35.2384106,14.50993378,0,6.218543047,2.072847682,0,0
2057,3,c0,3,294.0000002,56.00000004,22.75000002,14.00000001,5.250000004,0,0,1.750000001,5.250000004
2057,3,c24,1,158.9198312,106.5485232,65.0126582,52.37130799,14.44725738,21.67088607,3.611814344,3.611814344,1.805907172
2057,3,c24,2,183.5826087,105.9130435,56.48695653,26.47826087,24.71304348,5.295652174,3.530434783,0,0
2057,3,c24,3,131.7647059,69.64705882,54.58823529,26.35294118,15.05882353,11.29411765,9.411764706,1.882352941,0
2057,3,t24,1,376.7483872,226.4112904,170.2612903,121.3564516,81.50806453,50.71612904,30.79193549,10.86774194,21.73548387
2057,3,t24,2,426.0180059,232.7146816,212.0706373,178.2894738,129.4944599,90.08310256,37.53462607,22.52077564,26.27423825
2057,3,t24,3,333.2205882,183.0882353,162.9485294,109.8529412,86.05147058,58.58823529,32.95588235,9.154411764,20.13970588
2057,5,c0,1,79.88395904,32.86006826,20.96245734,16.99658703,6.798634812,3.965870307,1.133105802,0.566552901,2.832764505
2057,5,c0,2,53.94190872,17.69294606,20.28215768,5.609958507,2.589211619,2.589211619,0.43153527,0,0.86307054
2057,5,c0,3,37.08955223,16.42537313,5.828358208,5.828358208,2.119402985,2.649253731,0.529850746,0,0.529850746
2057,5,c24,1,495.4468803,266.7790894,177.217538,91.46711637,34.30016864,34.30016864,13.33895447,7.622259697,9.527824622
2057,5,c24,2,256.0905662,103.5660378,58.37358493,43.30943398,24.47924529,3.766037738,5.649056606,0,3.766037738
2057,5,c24,3,219.2755906,87.33858271,59.46456695,39.02362206,26.01574804,24.15748032,7.433070869,1.858267717,7.433070869
2057,5,t24,1,379.0795949,231.0448626,164.6367584,91.31114331,47.03907382,20.75253257,9.684515199,8.301013028,4.150506514
2057,5,t24,2,259.7211798,123.4477213,81.76407512,65.73190353,27.25469171,12.82573727,9.619302955,9.619302955,8.016085796
2057,5,t24,3,217.8385093,95.40372671,74.73291925,50.88198758,31.80124224,17.49068323,9.540372671,6.360248447,7.950310559
2057,9,c0,1,79.96019901,33.45273632,21.21393035,12.23880597,5.711442787,3.263681592,4.895522388,0.815920398,2.447761194
2057,9,c0,2,74.20276496,45.13364054,16.82949308,13.00460829,6.119815667,7.649769583,0,0.764976958,2.294930875
2057,9,c0,3,82.46829271,23.89268293,18.49756098,10.79024391,8.478048783,5.395121953,3.08292683,1.541463415,3.853658538
2057,9,c24,1,19.5967742,35.70967742,18.29032258,15.67741936,9.580645163,3.048387097,0.870967742,2.177419355,3.048387097
2057,9,c24,2,14.19847328,26.97709923,12.30534351,5.20610687,0.473282443,0.946564885,0.946564885,0,0.946564885
2057,9,c24,3,17.2027027,29.87837838,8.601351351,4.979729729,3.168918919,0.452702703,1.358108108,0.452702703,0.905405405
2057,9,t24,1,127.7485714,58.35428572,39.42857143,29.96571429,12.61714286,3.154285714,4.731428572,0,0
2057,9,t24,2,168.1282052,93.64102566,70.23076924,34.05128206,17.02564103,14.8974359,6.384615386,4.256410257,6.384615386
2057,9,t24,3,17.53246753,36.23376624,15.77922078,9.350649351,5.25974026,2.922077922,1.168831169,0.584415584,1.168831169
2057,11,c0,1,171.6876971,51.01577285,40.22397474,22.56466876,9.810725547,5.886435328,2.943217664,1.962145109,4.905362774
2057,11,c0,2,117.8290598,40.56410257,27.04273505,20.28205128,7.726495727,3.863247864,1.931623932,3.863247864,2.897435898
2057,11,c0,3,61.98675497,24.79470199,19.07284768,19.07284768,7.629139074,8.582781458,0.953642384,0.953642384,0.953642384
2057,11,c24,1,119.0246913,72.95061722,46.07407403,44.15432095,13.43827159,3.839506169,3.839506169,5.759259254,1.919753085
2057,11,c24,2,110.3611112,47.56944447,51.37500002,26.6388889,15.22222223,7.611111115,9.513888894,1.902777779,3.805555557
2057,11,c24,3,63.48437503,48.54687502,48.54687502,19.91666667,23.65104168,11.203125,8.71354167,6.223958336,8.71354167
2057,11,t24,1,116.7656766,72.47524752,36.23762376,33.21782178,21.13861386,7.04620462,10.0660066,3.01980198,5.0330033
2057,11,t24,2,97.07766994,44.21359225,21.14563108,17.30097088,9.611650489,3.844660196,2.883495147,1.922330098,0
2057,11,t24,3,149.3614459,116.3855422,91.16867475,52.37349401,34.91566267,19.39759037,7.759036149,7.759036149,3.879518075
