"c_0","phi_0","a_0","a_py","a_pd","E_a","R_opt","gamma","h_0","h_py","h_pd","E_h"
112952.571393642,403.70323173909,299429.128540289,11849044326.222,1110.79391085046,415.244261765619,291.379773803536,626.926800009715,425.811123416178,415.309427134011,218.458782891055,415.268356346818
98971.880908519,403.62510556127,296835.493124818,11839505447.0879,1094.82930959773,415.244338626964,299.590457707823,625.520135511929,425.760500451259,415.309925871008,218.460074939264,415.268356303496
87503.1468019411,403.549447890221,294253.875426969,11829729733.2457,1079.22963423023,415.244415488369,307.249669009618,624.12467163437,425.709954967705,415.310419789644,218.461409907453,415.268356260175
77971.8563188964,403.476272497712,291684.264290133,11819703217.098,1063.98595471829,415.244492349835,313.563901694139,622.740293042107,425.659486681924,415.310908925894,218.46278923879,415.268356216854
69959.9964859331,403.405593314111,289126.648596457,11809411398.8019,1049.08957442359,415.244569211363,318.137918051686,621.366885837697,425.609095311957,415.311393315449,218.464214426028,415.268356173532
63157.2900150808,403.337424429999,286581.01726659,11798839227.7724,1034.53202369928,415.244646072951,320.990096382015,620.004337540367,425.55878057746,415.311872993715,218.465687013271,415.268356130211
57329.3487940985,403.271780097818,284047.359259419,11787971084.036,1020.30505367221,415.244722934601,322.455987231394,618.652537065533,425.508542199695,415.312347995818,218.467208597804,415.268356086889
52296.334247453,403.208674733515,281525.663571818,11776790759.4855,1006.40063020221,415.244799796311,323.052439797216,617.311374704662,425.458379901515,415.312818356604,218.468780831998,415.268356043567
47918.3298147883,403.148122918222,279015.919238399,11765281439.0993,992.810928013162,415.244876658083,323.353298839296,615.980742105448,425.408293407355,415.313284110641,218.470405425275,415.268356000246
44085.1097017759,403.090139399938,276518.115331258,11753425682.1948,979.5283249907,415.244953519916,323.901439268735,614.660532252327,425.358282443216,415.313745292226,218.472084146164,415.268355956924
40708.8518675074,403.034739095233,274032.24095973,11741205403.7905,966.545396641855,415.24503038181,325.160936580809,613.35063944729,425.308346736654,415.31420193538,218.473818824416,415.268355913603
37718.8625746752,402.981937090975,271558.285270145,11728601856.1653,953.854910711773,415.245107243765,327.497736768917,612.050959291024,425.25848601677,415.314654073856,218.475611353216,415.268355870281
35057.7002847806,402.931748646063,269096.237445582,11715595610.7058,941.449821952976,415.245184105781,331.170300321594,610.761388664346,425.208700014195,415.315101741138,218.477463691468,415.268355826959
32678.2890702276,402.884189193184,266646.086705633,11702166540.1484,929.323267042693,415.245260967858,336.31663581231,609.481825709943,425.158988461079,415.315544970444,218.479377866173,415.268355783638
